,id,titulo,status
157,15401,CANCELAR CADASTRO WEB MASTER,AGUARDANDO CONCLUSÃO
156,15402,CANCELAMENTO CLIENTE - FAL ARMAS LTDA,AGUARDANDO CONCLUSÃO
141,15420,CANCELAMENTO CADASTRO WEB MASTER,AGUARDANDO CONCLUSÃO
154,15404,CANCELAR CADASTRO NO WEB MASTER,AGUARDANDO CONCLUSÃO
153,15406,CANCELAR CADASTRO WEB MASTER,AGUARDANDO CONCLUSÃO
152,15407,CANCELAR CADASTRO WEB MASTER,AGUARDANDO CONCLUSÃO
151,15408,CANCELAR CADASTRO WEB MASTER,AGUARDANDO CONCLUSÃO
150,15409,CANCELAR CADASTRO NO WEB MASTER,AGUARDANDO CONCLUSÃO
149,15410,CANCELAR CADASTRO WEB MASTER,AGUARDANDO CONCLUSÃO
148,15411,AMERICAN SHOOTING - PELO APP DO ATIRADOR NÃO É POSSIVEL ABRIR AS DECLARAÇÕE ...,AGUARDANDO CONCLUSÃO
147,15412,CANCELAMENTO WEB MASTER,AGUARDANDO CONCLUSÃO
166,15379,CANCELAR CADASTRO NO WEB MASTER,AGUARDANDO CONCLUSÃO
169,15365,CANCELAR CADASTRO WEB MASTER.,AGUARDANDO CONCLUSÃO
116,15463,BACKUP CLIENTE - CLUBE DE TIRO DRAGAO DAS AGUAS,AGUARDANDO CONCLUSÃO
136,15428,CANCELAR CADASTRO WEB MASTER,AGUARDANDO CONCLUSÃO
145,15414,CANCELAMENTO CADASTRO WEB MASTER,AGUARDANDO CONCLUSÃO
37,15617,AMERICANSHOOTINGCLUB.COM.BR - RELATÓRIO DE ACESSO ADMINISTRATIVO,AGUARDANDO CONCLUSÃO
119,15457,CANCELAR CADASTRO NO WEB MASTER,AGUARDANDO CONCLUSÃO
120,15456,AMERICAN SHOOTING - ERRO AO BAIXAR CONTAS A PAGAR,AGUARDANDO CONCLUSÃO
190,15204,ARTP.COM.BR - PAGINA NAO ENCONTRADA EM DOCUMENTO ANEXADO,AGUARDANDO CONCLUSÃO
122,15454,CANCELAR CADASTRO NO WEB MASTER,AGUARDANDO CONCLUSÃO
1,15690,CLIENTE NOVO - CASTELOCLUBEDETIRO.COM.BR,AGUARDANDO CONCLUSÃO
31,15632,CCTPMG.COM.BR - EXTRATO DOS CARTOES ESTA MANDANDO ENTRADAS DELETADAS PARA O ...,AGUARDANDO CONCLUSÃO
184,15258,THE BULLETS - CADASTROS NAO BATEM OS NUMEROS,AGUARDANDO CONCLUSÃO
15,15662,CANCELAR CADASTRO WEB MASTER,AGUARDANDO CONCLUSÃO
131,15439,CANCELAR CADASTRO WEB MASTER,AGUARDANDO CONCLUSÃO
179,15314,CTHILBERT.COM.BR - IMPORTAÇÃO PLANILHAS - HABITUALIDADES E ASSOCIADOS,AGUARDANDO CONCLUSÃO
17,15658,CLIENTE NOVO - ALINECRCONSULTORIA.COM.BR,AGUARDANDO CONCLUSÃO
